operating_point,detector,probe,intensity,n,corpora,directional_corpus_sign_flip_p,holm_adjusted_directional_p,holm_reject_0.05,any_flip_rate__estimate,any_flip_rate__lower90,any_flip_rate__upper90,human_to_ai_flip_rate__estimate,human_to_ai_flip_rate__lower90,human_to_ai_flip_rate__upper90,ai_to_human_flip_rate__estimate,ai_to_human_flip_rate__lower90,ai_to_human_flip_rate__upper90,mean_score_shift__estimate,mean_score_shift__lower90,mean_score_shift__upper90
0.01,openai_roberta_base__gpt2_legacy,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.00011042856009832272,-9.241783118341118e-06,0.00027561005518927565
0.01,radar_roberta_large__vicuna7b_training,contraction_expansion,low,214,6,0.75,1.0,False,0.018691588785046728,0.0,0.03849158653846151,0.014018691588785047,0.0,0.034690703583632666,0.004672897196261682,0.0,0.017241379310344827,0.027450039888140265,0.010210249805159003,0.04360612830361891
0.01,radar_roberta_large__vicuna7b_training,contraction_expansion,high,214,6,0.5,1.0,False,0.03271028037383177,0.006040061633281973,0.06333333333333334,0.02336448598130841,0.0,0.04780876494023904,0.009345794392523364,0.0,0.023921284558734743,0.038104654172278735,0.01228325494867532,0.06266049833591707
0.01,radar_roberta_large__vicuna7b_training,punctuation_normalization,low,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0124617883735441,0.004351146287642993,0.021062281422809553
0.01,radar_roberta_large__vicuna7b_training,punctuation_normalization,high,356,8,0.5,1.0,False,0.0056179775280898875,0.0,0.015051282051282004,0.0056179775280898875,0.0,0.015051282051282004,0,0.0,0.0,0.010111582645978988,-0.00045761271472039255,0.023454777016238704
0.01,radar_roberta_large__vicuna7b_training,sentence_splitting,low,358,8,0.25,1.0,False,0.01675977653631285,0.0,0.038968294275556835,0.01675977653631285,0.0,0.038968294275556835,0,0.0,0.0,0.03306378297313954,0.020633199763852177,0.04705190668673243
0.01,radar_roberta_large__vicuna7b_training,sentence_splitting,high,358,8,0.0625,1.0,False,0.0446927374301676,0.012195121951219513,0.08459214501510574,0.0446927374301676,0.012195121951219513,0.08459214501510574,0,0.0,0.0,0.09423500583500617,0.05353195316073037,0.1365814569134448
0.01,radar_roberta_large__vicuna7b_training,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0005958271706759026,-0.004709419157987084,0.009926541952881951
0.01,radar_roberta_large__vicuna7b_training,discourse_markers,high,132,6,1.0,1.0,False,0.015151515151515152,0.0,0.03390407010261731,0.007575757575757576,0.0,0.024592182831300977,0.007575757575757576,0.0,0.02564102564102564,0.000664397583794639,-0.009050390154818774,0.01744568143290297
0.01,radar_roberta_large__vicuna7b_training,paragraph_resegmentation,low,400,8,0.1875,1.0,False,0.0625,0.02,0.115,0.06,0.0175,0.1125,0.0025,0.0,0.01,0.10000019390019588,0.05721046707450295,0.15083331515523604
0.01,radar_roberta_large__vicuna7b_training,paragraph_resegmentation,high,400,8,0.1875,1.0,False,0.08,0.03,0.1325,0.07,0.0225,0.1225,0.01,0.0,0.0225,0.13435379495989763,0.08068704116009759,0.19191491864013369
0.01,radar_roberta_large__vicuna7b_training,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0037589271552860735,-0.0010377849913323174,0.011880805582872458
0.01,radar_roberta_large__vicuna7b_training,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0007542074347535769,-0.014070212224587089,0.02590055553397784
